X,Y,Z
67,-87,17543
4.02,-5.22,1052.58
-263,278,17543
-15.78,16.68,1052.58
-314,-30,17778
-18.84,-1.7999999999999998,1066.68
-317,-31,17790
-19.02,-1.8599999999999999,1067.3999999999999
-299,-75,17564
-17.939999999999998,-4.5,1053.84
-276,357,17565
-16.56,21.419999999999998,1053.8999999999999
35,-120,17739
2.1,-7.199999999999999,1064.34
-283,-87,17545
-16.98,-5.22,1052.7
-325,336,17573
-19.5,20.16,1054.3799999999999
85,-126,17561
5.1,-7.56,1053.6599999999999
89,275,17784
5.34,16.5,1067.04
-203,-101,17788
-12.18,-6.06,1067.28
109,326,17538
6.54,19.56,1052.28
69,-2,17780
4.14,-0.12,1066.8
-201,-97,17565
-12.059999999999999,-5.819999999999999,1053.8999999999999
119,317,17548
7.14,19.02,1052.8799999999999
-289,-67,17574
-17.34,-4.02,1054.44
-370,125,17776
-22.2,7.5,1066.56
108,346,17543
6.4799999999999995,20.759999999999998,1052.58
-307,-37,17549
-18.419999999999998,-2.2199999999999998,1052.94
-320,-30,17540
-19.2,-1.7999999999999998,1052.3999999999999
84,-8,17573
5.04,-0.48,1054.3799999999999
-146,-97,17563
-8.76,-5.819999999999999,1053.78
14,266,17557
0.84,15.959999999999999,1053.42
28,-34,17540
-135,-31,17553
60,-2,17756
10,-39,17789
-160,-25,17779
-123,-39,17789
-339,-3,17787
11,-69,17560
-266,263,17542
-307,261,17536
12,-81,17544
-274,-18,17542
-324,294,17550
-309,-71,17782
33,-1,17545
-309,-24,17785
-347,-25,17574
88,-47,17783
-299,-22,17578
-330,-12,17550
45,-46,17555
-335,-25,17568
-296,-50,17542
20,-30,17560
-323,-42,17553
-274,278,17584
-261,-36,17536
-301,-18,17555
-280,260,17782
-268,-41,17767
-276,-27,17782
30,-21,17777
-283,-36,17588
-274,257,17774
10,-34,17536
0,266,17786
15,-57,17563
-293,273,17775
10,-69,17774
